cust_id,company1,city,type
DISCOW,DISCOVERY FOODS  WILLOW POINT,CAMPBELL RIVER,FREIGHT
DISCOO,DISCOVERY FOODS OYSTER RIVER,"CAMPBELL RIVER, B.C",FREIGHT
DIVALI,DIVALICIOUS (Kathleen Robertson),VICTORIA,TOWN
DNDDAM,DND DCTF,COLWOOD,TOWN
DNDNEL,DND NELLIES BLOCK,VICTORIA,TOWN
DNDWAR,DND WARDROOM,ESQUIMALT,TOWN
DNDWOR,DND WORKPOINT,ESQUIMALT,TOWN
DOBOSA,DOBOSALA CANTINA & RIDE THRU,VICTORIA,TOWN
DOCKFISH,DOCKSIDE FISH & CHIPS dba,CAMPBELL RIVER,FREIGHT
HOUSEO,DOCKSIDE SMOKEFISH STORE dba,TOFINO,FREIGHT
DOGHSE,DOGHOUSE RESTAURANT,DUNCAN,UPISLAND
DOLPHIN,DOLPHIN'S RESORT,CAMPBELL RIVER,FREIGHT
DOMOJ,DOMO JAPAN dba,COURTENAY,FREIGHT
DRMEAT,DOUBLE R MEATS,PORT ALBERNI,FREIGHT
DOUGLA,DOUGLAS CARE(SGP)51209,VICTORIA,TOWN
SGPDOUG,DOUGLAS HOUSE (SGP)51171,VICTORIA,TOWN
DRAHSE,DRAGON HOUSE dba,POWELL RIVER,FREIGHT
DRIFT,DRIFTWOOD RESTAURANT,CAMPBELL RIVER,FREIGHT
DRIFTS,DRIFTWOOD SEAFOODS,LADYSMITH,UPISLAND
DSQUARED,DSQUARED,VICTORIA,TOWN
DUKESR,DUKE'S DOCKSIDE RESTAURANT C.R,CAMPBELL RIVER,FREIGHT
DUNELK,DUNCAN ELKS,DUNCAN,UPISLAND
DUNHOU,DUNCAN HOUSING SOCIETY 8107 7973,DUNCAN,UPISLAND
DUTCHB,DUTCH BAKERY,VICTORIA,TOWN
EAGLEP,EAGLE PARK HEALTH (CPS) 08107 7333,QUALICUM BEACH,FREIGHT
EAGLE,EAGLES F.O.E 2546,DUNCAN,UPISLAND
EASTKIT,EAST KITCHEN LTD.,COURTENAY,FREIGHT
EATFRES,EAT FRESH URBAN MARKETS LTD.,PARKSVILLE,UPISLAND
EATABL,EATABLES UNLIMITED CATERING,SHAWNIGAN LAKE,UPISLAND
LAPETI,EBIZO SUSHI RESTAURANT,VICTORIA,TOWN
ECHOVI,ECHO VILLAGE(CPS)08107 7300,PORT ALBERNI,FREIGHT
ECOLEV,ECOLE VICTOR BRODEUR,VICTORIA,TOWN
NANTRA,EDEN GARDENS 08107 4755,NANAIMO,UPISLAND
EDGEWO,EDGEWOOD HOLDINGS  (CPS)  08107  7396,NANAIMO,UPISLAND
